name,full_name,overall_rating
A. Rabiot,Adrien Rabiot,83
A. Romagnoli,Alessio Romagnoli,83
João Cancelo,João Pedro Cavaco Cancelo,83
Anderson Talisca,Anderson Souza Conceição,83
K. Coman,Kingsley Coman,83
T. Lemar,Thomas Lemar,83
J. Tah,Jonathan Tah,82
M. Politano,Matteo Politano,82
C. Lenglet,Clément Lenglet,82
Pau López,Pau López Sabata,82
H. Lozano,Hirving Rodrigo Lozano Bahena,82
Malcom,Malcom Filipe Silva de Oliveira,82
L. Torreira,Lucas Torreira Di Pascua,82
Gonçalo Guedes,Gonçalo Manuel Ganchinho Guedes,82
G. Lo Celso,Giovani Lo Celso,82
Fabián,Fabián Ruiz Peña,82
F. de Jong,Frenkie de Jong,82
Raphaelito Anjos,Raphael William Anjos Rochedo,82
Juiano Mestres,Juan Everton Mestres de Mesquita,82
Rosberto Dourado,Rosberto J. Dourado Santos,82
Arthur,Arthur Henrique Ramos Oliveira Melo,82
Rodri,Rodrigo Hernández Cascante,82
M. Parolo,Marco Parolo,82
M. Kruse,Max Kruse,82
J. Henderson,Jordan Brian Henderson,82
N. Gaitán,Osvaldo Nicolás Fabián Gaitán,82
M. Arnautović,Marko Arnautović,82
S. Giovinco,Sebastian Giovinco,82
G. Sigurðsson,Gylfi Þór Sigurðsson,82
Giuliano,Giuliano Victor de Paula,82
P. Gulácsi,Péter Gulácsi,82
Luiz Gustavo,Luiz Gustavo Dias,82
K. Trippier,Kieran Trippier,82
A. Ramsey,Aaron Ramsey,82
M. Balotelli,Mario  Barwuah Balotelli,82
Marlos,Marlos Romero Bonfim,82
Taison,Taison Barcellos Freda,82
G. Bonaventura,Giacomo Bonaventura,82
G. Kondogbia,Geoffrey Kondogbia,81
J. Roussillon,Jérôme Roussillon,81
S. Zaza,Simone Zaza,81
S. Vrsaljko,Šime Vrsaljko,81
C. Kramer,Christoph Kramer,81
B. Mendy,Benjamin Mendy,81
M. Sabitzer,Marcel Sabitzer,81
M. Nastasić,Matija Nastasić,81
A. Plea,Alassane Plea,81
M. Ginter,Matthias Ginter,81
Gerard Moreno,Gerard Moreno Balagueró,81
A. Doucouré,Abdoulaye Doucouré,81
R. Guerreiro,Raphaël Guerreiro,81
Ricardo Pereira,Ricardo Barbosa Pereira,81
Samu Castillejo,Samuel Castillejo Azuaga,81
J. Brandt,Julian Brandt,81
N. Pépé,Nicolas Pépé,80
S. Bergwijn,Steven Bergwijn,80
A. Onana,André Onana,80
F. Balbuena,Fabián Balbuena,80
André Silva,André Miguel Valente da Silva,80
Oyarzabal,Mikel Oyarzabal Ugarte,80
Everton Andrão,Everton Jorge Andrade Zanon,80
Welington Dano,Welington Kauê Dano Nascimento,80
Richarlison,Richarlison de Andrade,80
Odriozola,Álvaro Odriozola Arzalluz,80
Carlos Soler,Carlos Soler Barragán,80
H. Aouar,Houssem Aouar,80
T. Ndombele,Tanguy NDombèlé Alvaro,80
M. Gómez,Maximiliano Gómez,80
Joaquín,Joaquín Sánchez Rodríguez,81
J. Mathieu,Jérémy Mathieu,81
J. Matip,Joël Andre Job Matip,80
S. Aurier,Serge Aurier,80
J. Guilavogui,Josuha Guilavogui,80
A. Oxlade-Chamberlain,Alex Oxlade-Chamberlain,80
M. Ryan,Mathew Ryan,80
V. Aboubakar,Vincent Paté Aboubakar,80
L. Muriel,Luis Fernando Muriel Fruto,80
D. Vida,Domagoj Vida,80
Ibai Gómez,Ibai Gómez Pérez,80
Cristian Tello,Cristian Tello Herrera,80
Ismaily,Ismaily Gonçalves dos S.,80
A. Mandi,Aïssa Mandi,80
C. Tătăruşanu,Anton Ciprian Tătărușanu,80
J. Murillo,Jeison Fabián Murillo Cerón,80
E. Dier,Eric Dier,80
J. Butland,Jack Butland,80
S. Sorrentino,Stefano Sorrentino,80
W. Rooney,Wayne Mark Rooney,80
Moyá,Miguel Ángel Moyá Rumbo,80
L. López,Lisandro López,80
J. Mascherano,Javier Alejandro Mascherano,80
Raffael,Raffael Caetano de Araújo,80
Diego López,Diego López Rodríguez,80
Juanfran,Juan Francisco Torres Belén,80
I. Denisov,Igor Denisov,80
I. Akinfeev,Igor Akinfeev,80
A. Gignac,André-Pierre Gignac,80
A. Granqvist,Andreas Granqvist,80
Manuel Fernandes,Manuel Henrique Tavares Fernandes,80
Dante,Dante Bonfim da Costa Santos,80
L. Perrin,Loïc Perrin,80
Borja Valero,Borja Valero Iglesias,80
A. Januzaj,Adnan Januzaj,79
J. Hector,Jonas Hector,79
M. Dabbur,Moanes Dabour,79
Óliver Torres,Óliver Torres Muñoz,79
Y. Bounou,Yassine Bounou,79
J. Hofmann,Jonas Hofmann,79
Otávio,Otávio Edmilson da Silva Monteiro,79
Jonny,Jonathan Castro Otto,79
L. Dendoncker,Leander Dendoncker,79
R. Zobnin,Roman Zobnin,79
Ricardo Horta,Ricardo Jorge da Luz Horta,79
Thiago Mendes,Thiago Henrique Mendes Ribeiro,79
J. Lerma,Jefferson Andrés Lerma Solís,79
J. Gbamin,Jean-Philippe Gbamin,79
I. Marcone,Iván Marcone,79
D. Benedetto,Darío Benedetto,79
M. Hitz,Marwin Hitz,79
N. Clyne,Nathaniel Edwin Clyne,79
A. Ljajić,Adem Ljajić,79
J. Guðmundsson,Johann  Berg Guðmunds­son,79
Elkeson,Elkeson de Oliveira Cardoso,79
Kike García,Enrique García Martínez,79
Escudero,Sergio Escudero Palomo,79
Herrerín,Iago Herrerín Buisán,79
Víctor Ruiz,Víctor Ruíz Torre,79
G. Medel,Gary Alexis Medel Soto,79
Y. Belhanda,Younès Belhanda,79
Hugo Mallo,Hugo Mallo Novegil,79
Borja García,Borja García Freire,79
W. Khazri,Wahbi Khazri,79
P. Jones,Phil Jones,79
A. Finnbogason,Alfreð Finnbogason,79
Vinícius Júnior,Vinícius José de Oliveira Júnior,78
Junior Firpo,Héctor Junior Firpo Adamés,78
E. Belözoğlu,Emre Belözoğlu,79
Fernando Torres,Fernando José Torres Sanz,79
B. Schweinsteiger,Bastian Schweinsteiger,79
B. Yılmaz,Burak Yılmaz,79
M. Gómez,Mario Gómez García,79
A. Young,Ashley Young,79
R. Babel,Ryan Guno Babel,79
B. Costil,Benoît Costil,79
S. Kalou,Salomon Armand Magloire Kalou,79
E. Lavezzi,Ezequiel Iván Lavezzi,79
H. Ben Arfa,Hatem Ben Arfa,79
B. Foster,Ben Foster,79
T. Heaton,Tom Heaton,79
Charles,Charles Dias De Oliveira,79
G. Cahill,Gary Cahill,79
A. Iwobi,Alex Iwobi,78
R. Loftus-Cheek,Ruben Loftus-Cheek,78
A. Selikhov,Alexandr Selikhov,78
J. Mojica,Johan Andrés Mojica Palacio,78
W. Barrios,Wílmar Enrique Barrios Terán,78
C. Izquierdoz,Carlos Roberto Izquierdoz,78
W. Benítez,Walter Benítez,78
N. Maksimović,Nikola Maksimović,78
A. Mitrović,Aleksandar Mitrović,78
M. Sportiello,Marco Sportiello,78
Capa,Ander Capa Rodríguez,78
Marcelo Goiano,Marcelo Augusto Ferreira Teixeira,78
Y. Tielemans,Youri Tielemans,78
S. Lobotka,Stanislav Lobotka,78
M. Philipp,Maximilian Philipp,78
L. Dubois,Léo Dubois,78
L. Dunk,Lewis Dunk,78
C. Schindler,Christopher Schindler,78
Y. Konoplyanka,Yevhen Konoplyanka,78
Pedro Mendes,Pedro Filipe Teodósio Mendes,78
R. Saponara,Riccardo Saponara,78
L. Kurzawa,Layvin Kurzawa,78
M. Hinteregger,Martin Hinteregger,78
D. da Costa,Danny  Vieira da Costa,78
Fernando,Fernando Lucas Martins,78
W. Boly,Willy Boly,78
A. Schwolow,Alexander Schwolow,78
G. Defrel,Gregoire Defrel,78
Álvaro,Álvaro González Soberón,78
L. Bittencourt,Leonardo Bittencourt,78
A. Carrillo,André Martín Carrillo Díaz,78
M. Elyounoussi,Mohamed Elyounoussi,78
O. Karnezis,Orestis Karnezis,78
De Marcos,Óscar de Marcos Arana,78
R. Cabella,Rémy Cabella,78
J. Hart,Joe Hart,78
Jurado,José Manuel Jurado Marín,78
E. Hernández,Elías Hernán Hernández Jacuinde,78
D. Ginczek,Daniel Ginczek,78
Lucas Pérez,Lucas Pérez Martínez,78
J. Farfán,Jefferson Agustín Farfán Guadalupe,78
A. Begović,Asmir Begović,78
Hilton,Vitorino Hilton da Silva,78
J. Baumgartlinger,Julian Baumgartlinger,78
Granero,Esteban Félix Granero Molina,78
Z. Junuzović,Zlatko Junuzović,78
V. Moses,Victor Moses,78
M. Debuchy,Mathieu Debuchy,78
G. Maripán,Guillermo Alfonso Maripán Loaysa,77
Iván Cuéllar,Iván Cuéllar Sacristán,77
F. Johnson,Fabian Johnson,77
Aarón Martín,Aarón Martín Caricol,77
G. Pereiro,Gastón Rodrigo Pereiro López,77
B. Moukandjo,Benjamin Moukandjo Bilé,77
M. Harnik,Martin Harnik,77
J. Ward-Prowse,James  Ward-Prowse,77
R. Alessandrini,Romain Alessandrini,78
Manu García,Manuel Alejandro García Sánchez,78
M. Antonio,Michail Antonio,78
Adrien Silva,Adrien Sebastian Perruchet Silva,78
S. Cook,Steve Cook,78
B. Mee,Ben Mee,78
Adriano,Adriano Correia Claro,78
J. Lens,Jeremain Lens,78
S. Rondón,José Salomón Rondón Giménez,77
Andreas Pereira,Andreas Hugo Hoelgebaum Pereira,77
V. Ibišević,Vedad Ibišević,77
L. Ocampos,Lucas Ocampos,77
N. Müller,Nicolai Müller,77
Simão Acunha,Simão Alvin Acunha Bardini,77
J. Calleri,Jonathan Calleri,77
A. Jahanbakhsh,Alireza Jahanbakhsh,77
A. Prijović,Aleksandar Prijović,77
Fabricio,Fabricio Martín Agosto Ramírez,77
M. Elneny,Mohamed Elneny,77
Jorge Meré,Jorge Meré Pérez,77
Wilson Eduardo,Wilson Bruno Naval Costa Eduardo,77
Álex Remiro,Alejandro Remiro Gargallo,77
T. Gutiérrez,Teófilo Gutiérrez,77
A. Pyatov,Andriy Pyatov,77
Diego Llorente,Diego Javier Llorente Ríos,77
I. Abate,Ignazio Abate,77
T. Vermaelen,Thomas Vermaelen,77
N. Füllkrug,Niclas Füllkrug,77
Pedro Obiang,Pedro  Mba Obiang Avomo,77
Wallace,Wallace Fortuna dos Santos,77
Djaniny,Jorge Djaniny  Tavares Semedo,77
Roberto,Roberto Jiménez Gago,77
S. Tasci,Serdar Taşçı,77
L. Schøne,Lasse Schøne,77
J. Defoe,Jermain  Defoe,77
V. Babacan,Volkan Babacan,77
O. Ighalo,Odion Jude Ighalo,77
A. Schürrle,André Schürrle,77
E. Skhiri,Ellyes Skhiri,77
W. Anton,Waldemar Anton,77
R. Palacio,Rodrigo Sebastián Palacio,77
K. Lasagna,Kevin Lasagna,77
D. Cvitanich,Darío Cvitanich,77
S. De Maio,Sebastian De Maio,77
S. Terodde,Simon Terodde,77
J. De Guzmán,Jonathan  de Guzmán,77
R. Civelli,Renato Civelli,77
Pablo Maffeo,Pablo Maffeo Becerra,77
Cédric,Cédric Ricardo Alves Soares,77
K. Papadopoulos,Kyriakos Papadopoulos,77
A. Szymanowski,Alexander Szymanowski,77
J. Kucka,Juraj Kucka,77
P. Jagielka,Phil Jagielka,77
M. Benassi,Marco Benassi,77
P. Jansson,Pontus Jansson,77
B. Espinosa,Bernardo José Espinosa Zúñiga,77
José Sá,José Pedro Malheiro de Sá,77
M. Sels,Matz Sels,77
Yuri Berchiche,Yuri Berchiche Izeta,77
R. Borré,Rafael Santos Borré,77
Paulinho,João Paulo Dias Fernandes,77
C. Piccini,Cristiano Piccini,77
B. André,Benjamin André,77
Barragán,Antonio Barragán Fernández,77
M. Samatta,Mbwana Ally Samatta,77
I. Diop,Issa Diop,77
M. Lowton,Matthew Lowton,77
T. Hernández,Theo Bernard François Hernández,77
Juanpe,Juan Pedro Ramírez López,77
K. Tete,Kenny Tete,77
B. Džemaili,Blerim Džemaili,77
André André,André Filipe Brás André,77
Balenziaga,Mikel Balenziaga Oruesagasti,76
V. Behrami,Valon Behrami,76
D. Reyes,Diego Antonio Reyes Rosales,76
Caiuby,Caiuby Francisco da Silva,76
S. Doumbia,Seydou Doumbia,76
João Félix,João Félix Sequeira,76
L. López,Lisandro López,76
Mario Suárez,Mario Suárez Mata,76
J. Lössl,Jonas Lössl,76
G. Castro,Gonzalo Castro Randon,76
M. Phillips,Matt Phillips,76
Gabriel Boschilia,Gabriel Boschilia,76
Wu Lei,武磊,76
N. Blandi,Nicolás Blandi,76
L. Kalinić,Lovre Kalinić,76
F. Fernández,Federico Fernández,76
J. Martínez,Jackson Martínez,76
Emerson,Emerson Palmieri dos Santos,76
Rômulo,Rômulo  Souza Orestes Caldeira,76
C. Benteke,Christian Benteke Liolo,76
M. Rashica,Milot Rashica,76
L. Baines,Leighton Baines,76
M. Noble,Mark Noble,76
F. Benković,Filip Benković,76
C. Riveros,Cristian Miguel Riveros Núñez,76
M. Niang,M'Baye Babacar Niang,76
D. Santon,Davide Santon,76
I. Ordets,Ivan Ordets,76
Francisco Geraldes,Francisco Geraldes,76
R. Snodgrass,Robert Snodgrass,76
Vitor Hugo,Vitor Hugo Franchescoli de Souza,76
M. Pašalić,Mario Pašalić,76
F. Borini,Fabio Borini,76
N. Vukčević,Nikola Vukčević,76
A. Hutchinson,Atiba Hutchinson,76
M. Moralez,Maximiliano Nicol Moralez,76
C. Austin,Charlie Austin,76
Kenedy,Robert Kenedy Nunes do Nascimento,76
Eltildo Correia,Eltildo Lucas Correia Pitta,76
João Pedro,João Pedro Geraldino dos Santos Galvão,76
A. Diamanti,Alessandro Diamanti,76
Guilherme,Guilherme dos Santos Torres,76
J. Morel,Jérémy Morel,76
Llorente,Fernando Javier Llorente Torres,76
G. Gönül,Gökhan Gönül,76
A. Paloschi,Alberto Paloschi,76
Juli Freitinho,Julio Leonardo Dourado de Freitas,76
Markel Bergara,Markel Bergara Larrañaga,76
L. Nguyen,Lee Nguyen,76
A. Knockaert,Anthony Knockaert,76
Córdoba,Iñigo Córdoba Kerejeta,76
J. Veltman,Joël Veltman,76
N. Sansone,Nicola Sansone,76
A. Turan,Arda Turan,76
H. Seferović,Haris Seferović,76
Rafael Cachoira,Rafael Jorgino Cachoira Rebelo,76
A. Haidara,Amadou Haidara,76
F. Caputo,Francesco Caputo,76
M. Locatelli,Manuel Locatelli,76
J. Ayew,Jordan Ayew,76
T. Jedvaj,Tin Jedvaj,76
S. Hanni,Sofiane Hanni,76
Andrés Fernández,Andrés Eduardo Fernández Moreno,76
T. Monconduit,Thomas Monconduit,76
N. Mukiele,Nordi Mukiele,76
D. Heintz,Dominique Heintz,76
Júnior Caiçara,Uílson de Souza Paula Júnior,76
A. Lennon,Aaron  Lennon,76
J. Willems,Jetro Willems,76
M. Veljković,Miloš Veljković,76
I. Belfodil,Ishak Belfodil,76
Miguel Lopes,Hugo Miguel Almeida Costa Lopes,76
D. Stephens,Dale Stephens,76
Brais Méndez,Brais Méndez Portela,76
A. Smith,Adam Smith,76
Recio,José Luis García del Pozo,76
Kiko Femenía,Francisco Femenía Far,76
M. Gaćinović,Mijat Gaćinović,76
P. Skjelbred,Per Ciljan Skjelbred,76
Fernandinho,Da Conceição Fernando Henrique,76
S. Brown,Scott Brown,76
M. Grujić,Marko Grujić,76
A. Soumaoro,Adama Soumaoro,76
Raúl Navas,Raúl Rodríguez Navas,76
A. Szalai,Ádám Szalai,76
A. Diawara,Amadou Diawara,76
L. Skorupski,Łukasz Skorupski,76
R. Hamouma,Romain Hamouma,76
K. Stöger,Kevin Stöger,76
K. Linetty,Karol Linetty,76
S. Bell,Stefan Bell,76
A. N'Diaye,Alfred John Momar N'Diaye,76
Y. Yazıcı,Yusuf Yazıcı,76
B. Oczipka,Bastian Oczipka,76
F. Valverde,Federico Valverde,76
M. Benítez,Martín Benítez,76
M. Vorm,Michel Vorm,76
N. Mendy,Nampalys Mendy,76
J. Vázquez,José Juan Vázquez Gómez,76
Unai Núñez,Unai Núñez Gestoso,75
N. Radoja,Nemanja Radoja,75
K. Gibbs,Kieran  Gibbs,75
A. Hamdallah,Abderrazak Hamdallah,75
Pablo Santos,Pablo Renan dos Santos,75
S. Fofana,Seko Fofana,75
Felipe,Felipe Dias da Silva dal Belo,75
C. Villanueva,Carlos Andrés Villanueva Roland,76
Mossoró,José Márcio da Costa,76
Diego Rico,Diego Rico Salguero,76
Alberto Moreno,Alberto Moreno Pérez,76
J. Clasie,Jordy Clasie,76
R. Funes Mori,Rogelio Gabriel Funes Mori,76
O. Alonso,Osvaldo Alonso Moreno,76
A. Djiku,Alexander Djiku,76
J. Hogg,Jonathan Hogg,76
D. Calvert-Lewin,Dominic Calvert-Lewin,75
M. Zeegelaar,Marvin Zeegelaar,75
G. Carrillo,Guido Carrillo,75
Jozabed,Jozabed Sánchez Ruiz,75
A. Franco,Alan Javier Franco,75
D. Brooks,David Brooks,75
J. Bruma,Jeffrey Bruma,75
L. Sepe,Luigi Sepe,75
S. Vokes,Sam Vokes,75
Javi López,Javier López Rodríguez,75
J. Amavi,Jordan Amavi,75
Idris,Idrissa Mandiang,75
A. Potuk,Alper Potuk,75
O. Norwood,Oliver Norwood,75
R. Khedira,Rani Khedira,75
D. Machís,Darwin Machís,75
R. Quaison,Robin Quaison,75
P. Dummett,Paul Dummett,75
L. Dimata,Landry Dimata,75
Allan Bardinho,Allan Norberto Bardini Paneira,75
L. Butelle,Ludovic Butelle,75
S. Cristóforo,Sebastián Cristóforo,75
Jason,David Jason Remeseiro Salgueiro,75
M. Agu,Mikel Agu,75
E. Badu,Emmanuel Badu,75
N. Redmond,Nathan Redmond,75
Sandro,Sandro Ranieri Guimarães Cordeiro,75
A. Mounier,Anthony Mounier,75
Matheus Pereira,Matheus Fellipe Costa Pereira,75
C. Jallet,Christophe Jallet,75
Diego Castro,Diego Castro Giménez,75
S. Okazaki,岡崎 慎司,75
O. Kamara,Ola  Williams Kamara,75
Xeka,Miguel Ângelo da Silva Rocha,75
R. Karsdorp,Rick Karsdorp,75
Marafona,José Carlos Coentrão Marafona,75
D. Valdés,Diego Valdés,75
M. Gonalons,Maxime Gonalons,75
Burgui,Jorge Franco Alviz,75
F. Guarín,Fredy Alejandro Guarín Vásquez,75
M. Jensen,Mathias Jensen,75
R. Thomas,Ryan Thomas,75
B. Butko,Bogdan Butko,75
L. Cigarini,Luca Cigarini,75
A. Musa,Ahmed Musa,75
M. Morozyuk,Mykola Morozyuk,75
G. Schennikov,Georgiy Schennikov,75
André Ramalho,André Ramalho Silva,75
T. Foket,Thomas Foket,75
P. Foden,Philip Foden,75
Walace,Walace Souza Silva,75
I. Kahveci,İrfan Can Kahveci,75
J. Briand,Jimmy Briand,75
D. Rolán,Diego Rolán,75
C. Théréau,Cyril Théréau,75
B. Valdez,Bruno Valdez,75
M. Konaté,Pape Moussa Konaté,75
H. Ayala,Hugo Ayala Castro,75
J. Kluivert,Justin Kluivert,75
P. Tau,Percy Tau,75
Eraso,Javier Eraso Goñi,75
A. Boruc,Artur Boruc,75
S. Larsson,Sam Larsson,75
Paulinho,Paulo Henrique Soares dos Santos,75
J. Urretaviscaya,Jonathan Matías Urretaviscaya da Luz,75
Y. Aït Bennasser,Youssef Aït Bennasser,75
P. Bernardoni,Paul Bernardoni,75
J. Brenet,Joshua Brenet,75
Aleñá,Carles Aleñá Castillo,75
Thiago Maia,Thiago Maia Alencar,75
R. Skov,Robert Skov,75
M. Isla,Mauricio Aníbal Isla Isla,75
W. McKennie,Weston McKennie,75
J. Tavernier,James Tavernier,75
S. Kalu,Samuel Kalu Ojim,75
Marlon,Marlon da Silva Barbosa,75
A. Duncan,Joseph Alfred Duncan,75
S. Sturaro,Stefano Sturaro,75
H. Arter,Harry Arter,75
V. Buyalskyi,Vitaliy Buyalskyi,75
M. Sarr,Malang Sarr,75
I. Fernández,Ignacio Fernández,75
H. Hateboer,Hans Hateboer,75
F. Niederlechner,Florian Niederlechner,75
P. Schwegler,Pirmin Schwegler,75
B. Pearson,Ben Pearson,75
T. Abraham,Tammy Abraham,75
Jefferson,Jefferson Moreira Nascimento,75
J. Mæhle,Joakim Mæhle,75
Unai López,Unai López Cabrera,75
I. Amadou,Ibrahim Amadou,75
C. Günter,Christian Günter,75
O. Onazi,Ogenyi Eddy Onazi,75
J. Montero,Jefferson Antonio Montero Vite,75
O. Murillo,Oscar Fabián Murillo Murillo,75
Borja Bastón,Borja González Tomás,75
L. Zelarayán,Lucas Zelarayán,75
M. Kelly,Martin Kelly,75
A. Umar,Aminu Umar,75
Zaldúa,Joseba Zaldúa Bengoetxea,75
M. Diagne,Mbaye Diagne,75
Jovane Cabral,Jovane Eduardo Borges Cabral,75
S. Dann,Scott Dann,75
M. Pavlović,Mateo Pavlović,75
A. Surman,Andrew Surman,75
F. Kainz,Florian Kainz,75
Fran Beltrán,Francisco José Beltrán Peinado,75
K. Vermeer,Kenneth Vermeer,75
Fontàs,Andreu Fontàs Prat,75
L. Quiñones,Luis Enrique Quiñónes,75
M. Leckie,Mathew Leckie,75
Tchê Tchê,Danilo das Neves Pinheiro,75
S. March,Solly March,74
B. Dabo,Bryan Dabo,74
F. Midtsjø,Fredrik Midtsjø,74
Arribas,Alejandro Arribas Garrido,74
Duirval Diniz,Duirval Hélton Diniz Cabral,74
O. Watkins,Ollie Watkins,74
R. Tapia,Renato Tapia,74
E. Roco,Enzo Pablo Roco Roco,74
J. Svensson,Jonas Svensson,74
L. Orbán,Lucas Alfonso Orbán Alegre,74
G. Donsah,Godfred Donsah,75
L. Krejčí,Ladislav Krejčí,75
S. Sinclair,Scott Sinclair,75
B. Jokič,Bojan Jokič,75
M. Thuram,Marcus Thuram,75
S. Romero,Silvio Ezequiel Romero,75
C. Atsu,Christian Atsu,74
C. Träsch,Christian Träsch,74
F. Pogba,Florentin Pogba,74
Reguilón,Sergio Reguilón Rodríguez,74
Caio Milaçar,Caio Bruno Milaçar Kenedy,74
M. Kempf,Marc-Oliver Kempf,74
Daniel Ayala,Daniel Sánchez Ayala,74
P. Roberts,Patrick Roberts,74
G. Ortíz,Guillermo Ortíz,74
R. Gikiewicz,Rafał Gikiewicz,74
R. Rey,Rodrigo Rey,74
Y. Öztekin,Yasin Öztekin,74
Daniel Candeias,Daniel João Santos Candeias,74
C. Beauvue,Claudio Beauvue,74
Marcelo,Marcelo dos Santos Ferreira,74
S. von Bergen,Steve von Bergen,74
J. Obi,Joel Obi,74
Rafael Leão,Rafael da Conceição Leão,74
Pedro Henrique,Pedro K. Medina da Silva,74
Raúl Fernández,Raúl Fernández-Cavada Mateos,74
Y. Nagatomo,長友 佑都,74
P. Hrošovský,Patrik Hrošovský,74
R. Berić,Robert Berić,74
N. Spolli,Nicolás Federico Spolli,74
L. Moore,Liam Moore,74
D. Falcinelli,Diego Falcinelli,74
J. Babin,Jean-Sylvain Claude Babin,74
J. Kopic,Jan Kopic,74
M. Besler,Matt Besler,74
P. Martinez,Pablo Martinez,74
Renan Bressan,Renan Bardini Bressan,74
O. Şahan,Olcay Şahan,74
M. Rensing,Michael Rensing,74
K. Phillips,Kalvin Phillips,74
W. Janssen,Willem Janssen,74
E. Mena,Eugenio Mena,74
A. Ciciretti,Amato Ciciretti,74
Davidson,Davidson da Luz Pereira,74
Diogo Leite,Diogo Filipe Monteiro Pinto Leite,74
A. Raggi,Andrea Raggi,74
S. Grandsir,Samuel Grandsir,74
D. Kreilach,Damir Kreilach,74
A. Ruiz,Alan Ruiz,74
Iñigo Pérez,Iñigo Pérez Soto,74
L. Sané,Ludovic Lamine Sané,74
Ivo,Olívio da Rosa,74
Gil Dias,Gil Bastião Dias,74
A. Mena,Ángel Mena,74
J. Córdoba,Jhon Córdoba,74
B. Ecuélé Manga,Bruno Écuélé Manga,74
N. Murru,Nicola Murru,74
G. Shinnie,Graeme Shinnie,74
J. Stryger Larsen,Jens Stryger Larsen,74
A. Erokhin,Aleksandr Erokhin,74
L. Robles,Luis Robles,74
A. Ulmer,Andreas Ulmer,74
F. Castillo,Fabián Castillo,74
I. Nestorovski,Ilija Nestorovski,74
M. Mount,Mason Mount,74
O. Kayode,Olarenwaju Ayoba Kayode,74
Jadson Vidigal,Matheus Jadson Vidigal Morais,74
P. Verhaegh,Paul Verhaegh,74
L. Cavallini,Lucas Cavallini,74
J. Geis,Johannes Geis,74
R. van Wolfswinkel,Ricky van Wolfswinkel,74
K. Adams Nuhu,Kasim Adams Nuhu,74
Kévin Rodrigues,Kévin Manuel Rodrigues,74
Ramalho,Jonás  Ramalho Chimeno,74
A. Semenov,Andrey Semenov,74
G. Charbonnier,Gaëtan Charbonnier,74
Luisinho,Luis Carlos Correia Pinto,74
E. Pieters,Erik Pieters,74
H. Wolf,Hannes Wolf,74
J. Aidoo,Joseph Aidoo,74
Nicolás Formido,Nicolás Júlio Formido Paiva,74
D. Kourmpelis,Dimitrios Kourmpelis,74
J. Vuković,Jagoš Vuković,74
J. Beausejour,Jean André Emanuel Beausejour Coliqueo,74
M. Ostrzolek,Matthias Ostrzolek,74
J. Błaszczykowski,Jakub Błaszczykowski,74
D. Bouanga,Denis Bouanga,74
R. Botta,Rubén Botta,74
D. Lazović,Darko Lazović,74
L. Marković,Lazar  Marković,74
Fábio Espinho,Fábio Ricardo Gomes Fonseca,74
Ruben Lima,Ruben Alexandre Rocha Lima,74
T. Usami,宇佐美 貴史,74
