team,players
san marino,"Nicola Nanni, Edoardo Colombo, Filippo Fabbri, Alessandro D'Addario, Enrico Golinucci, Manuel Battistini, Alessandro Golinucci, Andrea Grandoni, Filippo Berardi, Samuel Pancotti, Lorenzo Capicchioni"
sri lanka,"Claudio Kammerknecht, Jack Hingert, Ahmed Waseem Razeek, Adhavan Rajamohan, Sujan Perera, Chalana Chameera, Mohamed Aakib, Jude Supan, Shenal Sandesh, Asikur Rahuman, Sam Durrant"
gibraltar,"Ethan Britto, Tjay De Barr, Bradley Banda, Jack Sergeant, Bernardo Lopes, Liam Walker, Jayce Olivero, Louie Annesley, Kian Ronan, Christian Lopez, Jaylan Hankins"
liechtenstein,"Marcel Büchel, Lars Traber, Benjamin Büchel, Dennis Salanovic, Simon Lüchinger, Lorenzo Lo Russo, Andreas Malin, Philipp Ospelt, Sandro Wolfinger, Fabio Wolfinger, Thomas Hobi"
somalia,"Abdi Salim, Mohamed Awad, Mohamed Omar, Abdulsamed Abdullahi, Saadiq Faisal Elmi, Fahad Mohamed, Abel Gigli, Yusuf Ahmed, Mukhtar Suleiman, Mohamud Ali, Isse Abdulkadir Ibrahim"
tonga,"David-John Tuamoheloa, Hemaloto Polovili, Taniela Vaka'uta, Sione Tuifangaloka, Semesi Otukolo, Petuli Tokotaha, Mohammad Rajani, Lisiate Feke, Christopher Kefu, Nicolas Vea, Kulisitofa Kite"
timor-leste,"João Pedro, Junildo, Cristevão, Elias Mesquita, Anizo Correia, Filonito, Olagar Xavier, Mário Quintão, João Bosco, Pablo De Jesús, Freteliano"
seychelles,"Carl Hopprich, Ahmed Maurice, Colin Bibi, Warren Mellie, Darrel Damoo, Juninho Mathiot, Romeo Padayachi, Don Fanchette, Dean Mothe, Brandon Labrosse, Josip Ravighia"
cayman islands,"Joshewa Frederick-Charlery, Elijah Seymour, Matthew Suberan, Dwayne Wright, Wesley Robinson, Casey McLaughlin, Dexter Beckford, Anton Nelson, Romario Dixon, Trey Ebanks, Jabari Campbell"
pakistan,"Easah Suliman, Abdullah Iqbal, Abdul Arshad, Omer Rao, Harun Hamid, Alamgir Ghazi, Ali Uzair, Imran Kayani, Shayek Dost, Muhammad Waleed, Hassan Ali"
brunei darussalam,"Hakeme Yazid Said, Yura Indera Putera, Haimie Nyaring, Najib Tarif, Hanif Hamir, Hanif Farhan Azman, Azwan Ali Rahman, Abdul Mu'iz Sisa, Nazirrudin Ismail, Nazry Azaman, Hirzi Zulfaqar"
aruba,"Fernando Lewis, Matthew Lentink, Jonathan Richard, Jayson Halman, Terence Groothusen, Diederick Luydens, Benjamin Maria, Nickenson Paul, Walter Bennett, Jeanpierre van der Linden, Isaï Marselia"
djibouti,"Warsama Hassan, Warsama Ibrahim Aden, Mahdi Houssein Mahabeh, Doualeh Mahamoud Elabeh, Abdi Idleh Hamza, Ali Youssouf Farada, Mohamed Fouad Mohamed, Youssouf Abdi Ahmed, Yabe Siad, Gabriel Dadzie, Sulait Luyima"
american samoa,"Puni Samuelu, Roy Ledoux, Austin Kaleopa, Kuresa Taga'i, Penieli Atu, Poasa Collins, Petu Pouli, Pago Isu, Pela Scanlan, Daniel Lee, Paneta Loke"
são tomé and príncipe,"Ricardo Fernandes, Pedro Mateus, Luís Leal, Harramiz, Marcos Barbeiro, Adjeil Neves, Mauro Vilhete, Nuno Malheiro, Rogério, Gilson, Aldair"
macau,"Vítor Almeida, Ka-Seng Lam, Cheng-Lam Lei, Man-Fai Ho, Chi-Hang Pang, Wa-Keng Ng, Dion Carlos Choi, Nuno Pereira, Niki Torrão, Man Chan, Hoi-San Cheong"
mongolia,"Ariunbold Batsaikhan, Munkh-Erdene Enkhtaivan, Dulguun Amaraa, Zayat Temuulen, Gerelt-Od Bat-Orgil, Oyunbaatar Mijiddorj, Purevsuren Uuganbayar, Baatartsogt Namsrai, Tsenguun Khandaa, Amgalanbat Batbaatar, Gantogtokh Gantuyaa"
laos,"Bouphachan Bounkong, Michael Vang, Kydavone Souvanny, Phoutdavy Phommasane, Photthavong Sangvilay, Anantaza Siphongphan, Sengdaovy Hanthavong, Thipphachanth Inthavong, Chony Wenpaserth, Thanouthong Kietnalonglop, Soukphachan Lueanthala"
cook islands,"Grover Harmon, Taylor Saghabi, Emiel Burrow, Dwayne Tiputoa, Harlem Simiona, Orin Prattley, Lee Harmon, Paavo Mustonen, Gichin Fuhiniu, Sunai Joseph, Ngereine Maro"
bhutan,"Chencho Gyeltshen, Karma Shedrup Tshering, Tshering Dendup, Nima Wangdi, Tenzin Dorji, Kinga Wangchuk, Tshelthrim Namgyel, Hari Gurung, Kinley Penjor, Pema Dhendup, Gyeltshen Zangpo"
bangladesh,"Isa Faysal, Rakib Hossain, Anisur Rahman Zico, Bishwanath Ghosh, Md Sohel Rana, Mohammed Foysal Ahmed Fahim, Rahmat Mia, Topu Barman, Saad Uddin, Robiul Hasan, Mohammad Ridoy"
mauritius,"Dylan Collard, Lindsay Rose, Kévin Bru, Kevin Jean-Louis, Adrien Botlar, Adel Langue, Jérémy Villeneuve, Marcus Dimanche, Malcolm Brunkhorst, Bernard Jubeau, Adrien François"
belize,"Michael Salazar, Krisean López, Eugene Martínez, Carlos Bernárdez, Everal Trapp, Woodrow West, Nahjib Guerra, Jordy Polanco, Collin Westby, Jonard Castillo, Latrell Middleton"
samoa,"Kaleb De Groot-Green, Dauntae Mariner, Andrew Setefano, Samuelu Malo, Vaa Taualai, Osa Savelio, Darren Talilai, Dilo Tumua, Falaniko Nanumea, John Tumua Leo, Alman Kwan"
dominica,"Glenson Prince, Briel Thomas, Erskim Williams, Travist Joseph, Eustace Marshall, Fitz Jolly, Javid George, Cheston Prosper, Donté Newton, Jarvis Humphreys, Marcelus Bonney"
cambodia,"Chanthea Sieng, Pisoth Lim, Yudai Ogawa, Nick Taylor, Visal Soeuy, Noron Mat, Vichet Um, Kriya Sareth, Muslim Yeu, Kimhuy Hul, Sosidan Nhean"
nepal,"Anjan Bista, Kiran Chemjong, Sanish Shrestha, Laken Limbu, Utsav Rai, Dinesh Henjan, Hisub Thapaliya, Mani Kumar Lama, Gillespye Jung Karki, Abishek Baral, Chhiring Lama"
barbados,"Zachary Ellis-Hayden, Armando Lashley, Ricardio Morris, Hadan Holligan, Rashad Jules, Mario Williams, Omani Leacock, Akeem Hill, Elijah Downey, Kishmar Primus, Zico Edmee"
chad,"Marius Mouandilmadji, Casimir Ninga, Eric Mbangossoum, Mahamat Thiam, Abanga Youssouf, Abderamane Ahmat, Ninga Ndonane, Bakhit Djibrine, Gabin Allambatnan, Amine Hiver, Brahim Azaz Goudja"
grenada,"Regan Charles-Cook, Jacob Bedeau, Darius Johnson, Kharlton Belmar, Benjamin Ettienne, Roman Charles-Cook, Jason Belfon, Kairo Mitchell, Saydrel Lewis, Jacob Berkeley-Agyepong, Josh Gabriel"
saint vincent and the grenadines,"Oalex Anderson, Kyle Edwards, Cornelius Stewart, Jazzi Barnum-Bobb, Diel Spring, Masai Brown, Nazir McBurnette, Kevin Francis, Lemus Christopher, Gidson Francis, Jamal Yorke"
bermuda,"Zeiko Lewis, Djair Parfitt, Kane Crichlow, Luke Robinson, Reggie Lambe, Roger Lee, Dante Leverock, Dale Eve, Lejaun Simmons, Detre Bell, Justin Donawa"
cuba,"Luis Paradela, Cavafe, Daniel Díaz, Yunior Pérez, Yasniel Matos, Karel Espino, Willian Pozo, Raiko Arozarena, Reydel Sánchez, Maikel Reyes, Dairon Reyes"
fiji,"Roy Krishna, Sairusi Nalaubu, Nabil Begg, Gabriele Matanisiga, Filipe Baravilala, Setareki Hughes, Ratu Waranaivalu, Patrick Joseph, Aquila Mateisuva, Ilimotama Jese, Sitiveni Cavuilagi"
south sudan,"Machop Chol, Valentino Yuel, Tito Okello, Ajak Riak, Ayom Majok, Majak Mawith, Martin Sawi, Peter Chol, David Omot Sebit, Hassan James Martin, Ramadan John"
malta,"Teddy Teuma, Matthew Guillaumier, Zach Muscat, Luke Montebello, Nicky Muscat, Kemar Reid, Ryan Camenzuli, Jurgen Degabriele, Dunstan Vella, Myles Beerman, Jean Borg"
saint lucia,"Terell Thomas, Caniggia Elva, Kurt Frederick, Shawn Evans, Lester Joseph, Malik St. Prix, Jason Similien, Vino Barclett, Melvin Doxilly, Gregson President, Alvinus Myers"
andorra,"Iker Álvarez, Christian Garcia, Cucu, Eric de Pablos, João Teixeira, Joan Cervós, Marc Vales, Marc García, Moisés San Nicolás, Marc Rebés, Jesús Rubio"
myanmar,"Aung Thu, Maung Maung Lwin, Hein Htet Aung, Zaw Win Thein, Kyaw Zin Phyo, Kyaw Min Oo, Yan Naing Oo, Lwin Moe Aung, David Htan, Thiha Htet Aung, San Sat Naing"
vanuatu,"Brian Kaltak, Azariah Soromon, Alex Saniel, Timothy Boulet, Jordy Tasip, Mitch Cooper, Kensi Tangis, Raoul Coulon, Barry Mansale, Bong Kalo, Tasso Jeffrey"
tahiti,"Matéo Degrumelle, Teave Teamotuaitau, Teaonui Tehau, Tauhiti Keck, Roonui Tehau, Moana Pito, Mauri Heitaa, Roonui Tinirauarii, Tauatua Lucas, Tevaearai Tamatai, Kavai'ei Morgant"
papua new guinea,"Nigel Dabinyaba, Emmanuel Simon, Ronald Warisan, Daniel Joe, Philip Steven, Patrick Aisa, Obert Bika, Yagi Yasasa, Ati Kepo, Peter Dabinyaba, Vagi Koniel"
maldives,"Hamza Mohamed, Hussain Shareef, Ibrahim Aisham, Ahmed Numaan, Ibrahim Mahudhee, Hussain Sifaau, Hussain Nihan, Haisham Hassan, Hassan Raif, Ali Naajih, Ali Fasir"
puerto rico,"Nicolás Cardona, Wilfredo Rivera, Ricardo Rivera, Isaac Angking, Colby Quiñónes, Darren Ríos, Gerald Díaz, Juan O'Neill, Joel Serrano, Gio Calderón, Rodolfo Sulia"
chinese taipei,"Ange Samuel, Wei-Jie Huang, Yao-Hsing Yu, Wen-Chieh Pan, Chien-ming Wang, Yen-Shu Wu, Meng-Hsin Liang, Chao-An Chen, Ming-You Hsieh, Chun-Ching Wu, Chiu-Lin Huang"
new caledonia,"César Zeoula, Rocky Nyikeine, Robert Neoere, Mickael Ulile, Morgan Mathelon, Titouan Richard, Pierre Bako, Lues Waya, Vincent Vakie, William Rokuad, Fonzy Ranchain"
hong kong,"Matt Orr, Oliver Gerbig, Tze-Nam Yue, Chun-Lok Tan, Pui-Hin Poon, Ming-Him Sun, Hung-Fai Yapp, Chun-Ming Wu, Juninho, Ka-Wing Tse, Siu-Kwan Philip Chan"
yemen,"Nasser Mohammedoh, Abdulwasea Al-Matari, Harwan Al-Zubaidi, Omar Al-Dahy, Ahmed Al-Wajeeh, Anes Al-Maari, Mohammed Al-Dahi, Abdullah Al-Saadi, Ahmed Maher, Hamzah Mahross, Al-Khader Al-Douh"
singapore,"Irfan Fandi, Ikhsan Fandi, Ui-young Song, Jacob Mahler, Hariss Harun, Safuwan Baharudin, Faris Ramli, Ryhan Stewart, Joshua Pereira, Shah Shahiran, Syazwan Buhari"
moldova,"Oleg Reabciuk, Ion Nicolaescu, Vadim Rață, Nikita Motpan, Vladyslav Baboglo, Virgiliu Postolachi, Artur Craciun, Artur Ioniță, Vitalie Damaşcan, Ioan-Calin Revenco, Alexei Koselev"
liberia,"Oscar, Sampson Dweh, Nohan Kenneh, Joachim Adukor, Mo Sangare, Marcus Macauley, Chauncy Freeman, Tommy Songo, Kemoh Kamara, Abdulai Bility, Sheku Sheriff"
guyana,"Elliot Bonds, Quillan Roberts, Liam Gordon, Stephen Duke-McKenna, Terique Mohammed, Kadell Daniel, Colin Nelson, Daniel Wilson, Quincy Adams, Akel Clarke, Amos Ramsey"
afghanistan,"Rahmat Akbari, Haroon Amiri, Omid Popalzay, Fareed Sadat, Sharif Mukhammad, Ovays Azizi, Mosawer Ahadi, Hossein Zamani, Taufee Skandari, Yama Sherzad, Omid Musawi"
lesotho,"Sera Motebang, Thabiso Brown, Katleho Makateng, Tshwarelo Bereng, Jane Thabantso, Bokang Sello, Tsepo Toloane, Lehlohonolo Fothoane, Neo Mokhachane, Motlomelo Mkhwanazi, Thabo Lesaoana"
eswatini,"Justice Figuareido, Mthunzi Mkhontfo, Sabelo Ndzinisa, Mxolisi Mkhonto, Sandile Gamedze, Sifiso Matse, Ncamiso Dlamini, Bongwa Matsebula, Sibonelo Mabuya Sibandze, Kwakhe Thwala, Neliswa Senzo Dlamini"
saint kitts and nevis,"Romaine Sawyers, Tyrese Shade, Jay Williams, Raheem Somersall, Julani Archibald, Harry Panayiotou, Xander Parke, Raheem Hanley, Kwame Thomas, Andre Burley, Omari Sterling-James"
botswana,"Tumisang Orebonye, Kabelo Seakanyeng, Gape Edwin Mohutsiwa, Mpho Kgaswane, Thabang Sesinyi, Mosha Gaolaolwe, Segolame Boy, Goitseone Phoko, Tshepo Maikano, Mothusi Johnson, Alford Velaphi"
ethiopia,"Gatoch Panom, Beneyam Belay, Yared Baye, Firew Getahun, Ramadan Yesuf, Mesfin Tafesse, Minyilu Wondimu, Henok Adugna, Canaan Markneh, Fuad Fereja, Said Habtamu"
suriname,"Sheraldo Becker, Stefano Denswil, Gyrano Kerk, Kenneth Paal, Immanuel Pherai, Virgil Misidjan, Anfernee Dijksteel, Ridgeciano Haps, Myenty Abena, Justin Lonwijk, Tyrone Conraad"
turkmenistan,"Teýmur Çaryýew, Arslanmurad Amanov, Selim Nurmuradov, Altymurad Annadurdyev, Vepa Zhumaev, Resul Çaryýew, Guychmyrat Annagulyyev, Resul Khozhaev, Abdy Byashimov, Batyr Babaev, Ata Geldiyev"
antigua and barbuda,"Dion Pereira, Aaron Taylor-Sinclair, Josh Parker, Quinton Griffith, Rhys Browne, Javorn Stevens, Shevorn Phillip, Kieron Richards, Vashami Allen, Kendukar Challenger, Raheem Deterville"
philippines,"Michael Baldisimo, Jefferson Tabinas, Neil Etheridge, Mike Ott, Kevin Ingreso, Kevin Ray Mendoza, Kenshiro Daniels, Christian Rontini, Simen Lyngbø, Patrick Deyto, Jesse Curran"
burundi,"Youssouf Ndayishimiye, Claus Niyukuri, Frédéric Nsabiyumva, Marco Weymans, Christophe Nduwarugira, Bienvenue Kanakimana, Jospin Nshimirimana, Pacifique Niyongabire, Trésor Mossi, Irakoze Donasiyano, Abdallah Sudi"
malaysia,"Dion Cools, Matthew Davies, La'Vere Corbin-Ong, Stuart Wilkin, Syihan Hazmi, Paulo Josué, Dominic Tan, Shahrul Saad, Endrick, Declan Lambert, Feroz Baharudin"
lithuania,"Gvidas Gineitis, Edgaras Utkus, Pijus Sirvys, Edvinas Gertmonas, Vykintas Slivka, Ovidijus Verbickas, Kipras Kazukolovas, Giedrius Matulevicius, Rokas Lekiatas, Edvinas Girdvainis, Daniel Romanovskij"
latvia,"Raimonds Krollis, Vladislavs Gutkovskis, Kristers Tobers, Janis Ikaunieks, Marko Regza, Alvis Jaunzems, Roberts Uldrikis, Roberts Savalnieks, Andrejs Ciganiks, Raivis Jurkovskis, Daniels Balodis"
kuwait,"Ahmad Al-Dhefiri, Faisal Zayed, Sulaiman Abdulghafoor, Mohammad Daham, Hamad Al-Harbi, Yousef Nasser, Redha Hani, Eid Al-Rasheedi, Bader Tarek Abdulrahman, Abdullah Al-Fahad, Hassan Al-Enezi"
nicaragua,"Matias Belli Moldskred, Juan Luis Pérez, César Salandía, Jason Coronel, Marvin Fletes, Harold Medina, Evert Martínez, Óscar Acevedo, Abner Acuña, Henry Niño, Junior Arteaga"
indonesia,"Thom Haye, Sandy Walsh, Jay Idzes, Jordi Amat, Shayne Pattynama, Ragnar Oratmangoen, Rizky Ridho, Nathan Tjoe-A-On, Asnawi Mangkualam, Ivar Jenner, Marselino Ferdinan"
solomon islands,"Raphael Lea'i, Marlon Tahioa, Atkin Kaua, Gagame Feni, Joses Nawo, Tigi Molea, Phillip Mango, Micah Lea'alafa, Allen Peter, Molis Gagame Jr., William Komasi"
rwanda,"Hakim Sahabo, Emmanuel Imanishimwe, Djihad Bizimana, Abdul Rwatubyaye, Fiacre Ntwari, Ange Mutsinzi, Bonheur Mugisha, Fitina Omborenga, Thierry Manzi, Dylan Maes, Maxime Wenssens"
the gambia,"Yankuba Minteh, Musa Barrow, Omar Colley, Alieu Fadera, Ebrima Colley, Assan Ceesay, Ali Sowe, Ablie Jallow, Noah Sonko Sundberg, Mohamed Badamosi, Ebrima Darboe"
faroe islands,"Brandur Hendriksson, Viljormur Davidsen, Gunnar Vatnhamar, Adrian Justinussen, Mads Mikkelsen, Petur Knudsen, Mattias Lamhauge, Jóan Símun Edmundsson, René Joensen, Bárdur á Reynatröd, Klaemint Olsen"
central african republic,"Louis Mafouta, Amos Youga, Axel Urie, Marco Majouga, Dominique Youfeigane, Geoffrey Lembet, Vénuste Baboula, Wesley Ngakoutou, Peter Guinari, Isaac Solet, Trésor Toropité"
niger,"Ali Mohamed, Youssouf Oumarou, Oumar Sako, Issa Djibrilla, Daniel Sosah, Rahim Alhassane, Amadou Moutari, Yusif Moussa, Abdoul Moumouni, Victorien Adebayor, Kairou Amoustapha"
sudan,"Mo Eisa, Ramadan Agab, Saif Thierry, Abo Eisa, Yasin Hamed, Al-Gozoli Nooh, Mohamed Mustafa, Salah Nimer, Mustafa Karshom, Mohamed Al-Rasheed, Abdelrazig Omer"
sierra leone,"Mohamed Buya Turay, Tyrese Fornah, Augustus Kargbo, Osman Kakay, Amadou Bakayoko, Alpha Conteh, Alhaji Kamara, Sullay Kaikai, Jonathan Morsay, Alhassan Koroma, Emmanuel Samadia"
cyprus,"Stelios Andreou, Ioannis Pittas, Konstantinos Laifis, Loizos Loizou, Andronikos Kakoullis, Nikolas Panagiotou, Charalampos Charalampous, Charalampos Kyriakou, Andreas Karo, Ioannis Kousoulos, Kostas Pileas"
estonia,"Karl Hein, Karol Mets, Joonas Tamm, Maksim Paskotsi, Alex Tamm, Matvei Igonen, Vlasiy Sinyavskiy, Henri Anier, Karl Andre Vallner, Mark Anders Lepik, Mihkel Ainsalu"
zimbabwe,"Marshall Munetsi, Jordan Zemura, Tino Kadewere, Teenage Hadebe, Andy Rinomhota, Divine Lunga, Munashe Garananga, Tawanda Chirewa, Brendan Galloway, Macauley Bonne, Gerald Takwara"
india,"Lallianzuala Chhangte, Apuia, Akash Mishra, Vishal Kaith, Liston Colaco, Naorem Mahesh Singh, Subhasish Bose, Mehtab Singh, Jeakson Singh, Anwar Ali, Brandon Fernandes"
lebanon,"Daniel Lajud, Bassel Jradi, Mostafa Matar, Mohamad Haidar, Nader Matar, Ali Sabeh, Nassar Nassar, Mehdi Khalil, Walid Shour, Karim Darwiche, Maher Sabra"
north korea,"Kwang-song Han, Il-gwan Jong, Kuk-chol Jang, Un-chol Ri, Chung-song Paek, Kuk-bom Kim, In-ju Mun, Ju-song Choe, Jin-nam Choe, Kuk-chol Kang, Kyong-sok Kim"
comoros,"Faïz Selemani, Rafiki Saïd, Ismaël Boura, Saïd Bakari, Myziane Maolida, Akim Abdallah, Youssouf M'Changama, Benjaloud Youssouf, Mohamed Youssouf, Ahmed Soilihi, Iyad Mohamed"
guinea-bissau,"Mama Baldé, Fali Candé, Franculino, Alfa Semedo, Carlos Mané, Dálcio, Janio Bikel, Romário Baldé, Zé Turbo, Elves Baldé, Famana Quizera"
vietnam,"Filip Nguyen, Hoang Duc Nguyen, Tan Tai Ho, Quang Hai Nguyen, Tien Linh Nguyen, Van Thanh Vu, Van Toan Nguyen, Hoang Viet Anh Bui, Thanh Binh Nguyen, Tien Dung Bui, Hung Dung Do"
libya,"Daniel Elfadli, Ali Youssef, Ahmed Kraouaa, Abdussalam Tubal, Mehdi Al-Kout, Murad Al-Wuheeshi, Ahmed Saad, Salah Fakroun, Ziad Elwani, Sanad Ali, Omar Al Khouja"
togo,"Kévin Denkey, Kodjo Fo Doh Laba, Ihlas Bebou, Djené, Khaled Narey, Roger Aholou, Dermane Karim, Sadik Fofana, Loïc Bessilé, Thibault Klidjé, Yaw Annor"
tanzania,"Ally Samatta, Novatus Miroshi, Simon Msuva, Himid Mao Mkami, Charles M'Mombwa, Abdi Banda, Mzamiru Yassin, Denis Kibu, Aishi Salum Manula, Mudathir Yahya, Bakari Mwamnyeto"
azerbaijan,"Renat Dadashov, Emin Mahmudov, Mahir Emreli, Ramil Sheydayev, Musa Qurbanli, Shahrudin Mahammadaliyev, Toral Bayramov, Aleksey Isayev, Elvin Cafarquliyev, Coshqun Diniyev, Qismat Aliyev"
republic of the congo,"Antoine Makoumbou, Gaius Makouta, Prestige Mboungou, Guy Mbenza, Gabriel Charpentier, Bradley Mazikou, Émerson, Béni Makouana, Christopher Ibayi, Silvere Ganvoula, Mark Mampassi"
mozambique,"Reinildo Mandava, Geny Catamo, Bruno Langa, Edmilson Dove, Witi, Guima, Alfons Amade, Clésio Baúque, David Malembana, Mexer, Gildo"
madagascar,"Loïc Lapoussin, Marco Ilaimaharitra, Rayan Raveloson, Kenji-Van Boto, Warren Caddy, Romain Métanire, Njiva Rakotoharimalala, Sandro Trémoulet, Thomas Fontaine, Adrien Trébel, Sonny Laiton"
guatemala,"Aarón Herrera, Rubio Rubín, Nicolás Samayoa, Jorge Aparicio, Rodrigo Saravia, Lynner García, José Carlos Pinto, Nicholas Hagen, Fredy Pérez, Cristian Jiménez, Pedro Altán"
kenya,"Omurwa, Eric Omondi, Bruce Kamau, Amos Nondi, Alphonce Omija, Ayub Masika, Anthony Akumu, Tobias Knost, Adam Wilson, Abud Omar, Patrick Matasi"
namibia,"Peter Shalulile, Ryan Nyambe, Riaan Hanamub, Deon Hotto, Petrus Shitembi, Ananias Gebhardt, Wendell Rudath, Prins Tjiueza, Uetuuru Kambato, Kamaijanda Ndisiro, Kennedy Amutenya"
new zealand,"Liberato Cacace, Marko Stamenic, Ben Waine, Callum McCowatt, Tyler Bindon, Sarpreet Singh, Alex Rufer, Oliver Sail, Matthew Garbett, Kosta Barbarouses, Clayton Lewis"
mauritania,"Aboubakary Koita, Aboubakar Kamara, Papa Ndiaga Yade, Pape Ibnou Ba, Babacar Niasse, Abdallahi Mahmoud, Aly Abeid, Souleymane Anne, Bakary N'Diaye, Yali Dellahi, El Hassan Houeibib"
kosovo,"Amir Rrahmani, Vedat Muriqi, Edon Zhegrova, Milot Rashica, Arijanet Muric, Mërgim Vojvoda, Zymer Bytyqi, Florent Muslija, Albion Rrahmani, Leart Paçarada, Florent Hadergjonaj"
thailand,"Chanathip Songkrasin, Supachai Chaided, Supachok Sarachat, Suphanat Mueanta, Kritsada Kaman, Bordin Phala, Theerathon Bunmathan, Sarach Yooyen, Elias Dolah, Patiwat Khammai, Peeradol Chamratsamee"
kazakhstan,"Bakhtiyor Zaynutdinov, Nuraly Alip, Askhat Tagybergen, Aleksandr Zuev, Maksim Samorodov, Abat Aymbetov, Temirlan Erlanov, Marat Bystrov, Sergey Maliy, Igor Shatskiy, Bekkhan Shayzada"
